Plot	Plot_bexis	Function	Value	Year	Dataset_ID	Dataset_Version
HEW33	HEW33	ammonia_oxidizing_bacteria	15400000	2016	21546	2
AEW21	AEW21	ammonia_oxidizing_bacteria	3750000	2016	21546	2
HEW02	HEW2	ammonia_oxidizing_bacteria	70100000	2016	21546	2
HEW35	HEW35	ammonia_oxidizing_bacteria	3980000	2016	21546	2
HEW07	HEW7	ammonia_oxidizing_bacteria	19600000	2016	21546	2
AEW34	AEW34	ammonia_oxidizing_bacteria	33900000	2016	21546	2
AEW30	AEW30	ammonia_oxidizing_bacteria	17100000	2016	21546	2
SEW34	SEW34	ammonia_oxidizing_bacteria	2630000	2016	21546	2
HEW04	HEW4	ammonia_oxidizing_bacteria	1780000	2016	21546	2
HEW28	HEW28	ammonia_oxidizing_bacteria	7930000	2016	21546	2
SEW42	SEW42	ammonia_oxidizing_bacteria	1220000	2016	21546	2
HEW09	HEW9	ammonia_oxidizing_bacteria	54100000	2016	21546	2
HEW38	HEW38	ammonia_oxidizing_bacteria	15300000	2016	21546	2
SEW38	SEW38	ammonia_oxidizing_bacteria	1760000	2016	21546	2
AEW36	AEW36	ammonia_oxidizing_bacteria	8810000	2016	21546	2
SEW45	SEW45	ammonia_oxidizing_bacteria	969000	2016	21546	2
AEW24	AEW24	ammonia_oxidizing_bacteria	20600000	2016	21546	2
SEW33	SEW33	ammonia_oxidizing_bacteria	1470000	2016	21546	2
SEW37	SEW37	ammonia_oxidizing_bacteria	693000	2016	21546	2
HEW23	HEW23	ammonia_oxidizing_bacteria	18700000	2016	21546	2
HEW24	HEW24	ammonia_oxidizing_bacteria	10200000	2016	21546	2
SEW41	SEW41	ammonia_oxidizing_bacteria	757000	2016	21546	2
SEW19	SEW19	ammonia_oxidizing_bacteria	1090000	2016	21546	2
HEW29	HEW29	ammonia_oxidizing_bacteria	1.3e+07	2016	21546	2
HEW10	HEW10	ammonia_oxidizing_bacteria	21300000	2016	21546	2
AEW31	AEW31	ammonia_oxidizing_bacteria	1.31e+08	2016	21546	2
SEW36	SEW36	ammonia_oxidizing_bacteria	668000	2016	21546	2
HEW03	HEW3	ammonia_oxidizing_bacteria	38400000	2016	21546	2
AEW35	AEW35	ammonia_oxidizing_bacteria	3110000	2016	21546	2
